title,description,date
'Deepfake porn images still give me nightmares',Poet Helen Mort is calling for a change in the law after images of her were edited with porn.,"Wed, 06 Jan 2021 00:52:46 GMT"
Jimmy Carter: The story behind the Premier League's first British Asian player,"Jimmy Carter was the first British Asian to play in the Premier League, but almost nobody realised and 11 years passed before another followed.","Wed, 06 Jan 2021 00:00:03 GMT"
US election 2020: The people who still believe Trump won,A distrust of the electoral process among Trump supporters could have implications for the nation.,"Tue, 05 Jan 2021 22:21:24 GMT"
Coronavirus: Dutch shocked to be EU vaccination stragglers,Caution and bureaucracy have made the Dutch last in the EU to start vaccinating against Covid-19.,"Wed, 06 Jan 2021 00:34:33 GMT"
Why are nurseries still open this time around?,Unanswered questions remain about why some services can open that couldn't in the first lockdown.,"Wed, 06 Jan 2021 11:10:26 GMT"
BBC Sound of 2021: Holly Humberstone wants her lyrics to be tattoo-worthy,"The 21-year-old's ""painfully honest"" pop songs have made her runner-up in the BBC's Sound of 2021.","Wed, 06 Jan 2021 00:32:51 GMT"
Covid travel: Why Instagram is still full of celebrities 'on holiday',"Despite rising infection rates and restrictions in the UK, some celebrities have continued to travel.","Tue, 05 Jan 2021 16:47:06 GMT"
"TV shows, films, books and music to help you through another lockdown","From escapist dramas to a Covid-secure dating show, find entertainment to get you through winter.","Tue, 05 Jan 2021 17:56:15 GMT"
From 'schools are safe' to lockdown - what changed for PM?,Nick Eardley examines how Boris Johnson went from urging parents to send children to school to a strict lockdown.,"Tue, 05 Jan 2021 17:04:36 GMT"
Cancelled exams are a 'big disappointment',"As students digest the news that exams are cancelled, families prepare for more home-schooling.","Tue, 05 Jan 2021 17:15:55 GMT"
England players pass Covid-19 tests in Sri Lanka,England's touring party in Sri Lanka all pass coronavirus tests having been retested after all-rounder Moeen Ali's positive result on Monday.,"Wed, 06 Jan 2021 06:52:07 GMT"
Northampton-Leicester cancelled due to Covid-19 cases in Saints squad,"Saturday's derby between Northampton and Leicester is cancelled due to ""a number of"" coronavirus cases in the Saints camp.","Wed, 06 Jan 2021 12:07:22 GMT"
New Zealand top of Test rankings after thrashing Pakistan,New Zealand rise to the top of the world Test rankings after they thrashed Pakistan by an innings and 176 runs to win the series 2-0.,"Wed, 06 Jan 2021 08:25:11 GMT"
"'He sneaks up on you, you don't hear him coming' - the story behind India's pace sensation Bumrah",Modest and likeable off the pitch but a fast-bowling demon on it - the story of India's pace spearhead Jasprit Bumrah.,"Wed, 06 Jan 2021 06:43:42 GMT"
Copa Libertadores highlights: River Plate 0-3 Palmeiras,Watch highlights as Brazilian side Palmeiras stun River Plate of Argentina with a 3-0 first-leg away victory in Buenos Aires in the semi-final of the Copa Libertadores.,"Wed, 06 Jan 2021 06:06:32 GMT"
What are the new rules in England and across the UK?,People in most parts of the UK are being told to stay at home due to coronavirus.,"Wed, 06 Jan 2021 11:44:04 GMT"
Covid-19 in the UK: How many coronavirus cases are there in your area?,Explore the data on coronavirus in the UK and find out how many cases there are in your area.,"Tue, 05 Jan 2021 18:44:36 GMT"
Home-schooling: How to help your child’s online learning,There are plenty of online resources to help while schools are closed to most pupils.,"Tue, 05 Jan 2021 19:31:51 GMT"
Covid: Can I go for a walk with friends? And other questions,We answer some of your questions about Christmas bubbles and the latest tier changes,"Tue, 05 Jan 2021 12:41:19 GMT"
Coronavirus: Has the NHS got enough PPE?,Who needs it - and does the UK health service have enough?,"Tue, 05 Jan 2021 10:45:03 GMT"
Coronavirus: Do people have to shield and what are the rules?,"As restrictions change across the country, how should more vulnerable people keep themselves safe?","Mon, 04 Jan 2021 20:16:13 GMT"
Covid: Can my boss force me to go to work?,"As England and Scotland enter new coronavirus lockdowns, what are the rules about going to work?","Tue, 05 Jan 2021 15:08:58 GMT"
Covid vaccine: When will you be eligible?,"Two vaccines are being rolled out across the UK, so when might you get one?","Tue, 05 Jan 2021 13:32:19 GMT"
Covid: What is happening with schools?,Schools across England are to teach most pupils remotely until at least February half-term.,"Tue, 05 Jan 2021 08:02:31 GMT"
"Coronavirus, schools and children - what are the risks?",How much do children contribute to the spread of Covid?,"Tue, 05 Jan 2021 09:11:08 GMT"
Lockdown rules: What Covid tier is your area in and what are the restrictions?,Use our search tool to find out about coronavirus rules and restrictions where you live.,"Wed, 06 Jan 2021 11:27:33 GMT"
Covid: Can I go on furlough and how much will I be paid?,"More people are now eligible for furlough, with the scheme extended until April 2021.","Mon, 04 Jan 2021 11:27:14 GMT"
Covid: How does mass testing work?,Mass testing is being used to find out if people have Covid-19 - whether or not they have symptoms.,"Thu, 31 Dec 2020 16:36:52 GMT"
Coronavirus: How does the Covid-19 alert level system work?,"The threat of Covid-19 in England is being ranked through a five-level, colour-coded alert system.","Mon, 04 Jan 2021 15:45:51 GMT"
Brexit: How will it affect my holiday to Spain? And other questions,We answer some of your questions about Brexit.,"Wed, 30 Dec 2020 18:43:02 GMT"
Brexit: Seven things that changed on 1 January,What will be different about the UK's relationship with the EU from 1 January 2021?,"Fri, 01 Jan 2021 12:26:38 GMT"
Brexit: What are the key points of the deal?,"These are the most important aspects of the UK-EU deal, and what they mean for people's lives and businesses.","Wed, 30 Dec 2020 11:02:45 GMT"
What should go on your Brexit to-do list?,Here are some of the things you can do to get prepared for the Brexit changes.,"Mon, 28 Dec 2020 09:26:36 GMT"
What will happen to mobile charges after Brexit?,"Will Britons be able to use their mobile phones in Europe after Brexit transition, without paying extra?","Fri, 01 Jan 2021 12:11:00 GMT"
Brexit: What are the rules on driving in the EU after transition?,What will change for UK drivers abroad now the UK is no longer following EU rules?,"Sat, 02 Jan 2021 11:12:48 GMT"
Travel after Brexit: How will it affect my holidays to the EU?,A simple guide to how leaving the EU will affect travel to Europe.,"Mon, 28 Dec 2020 09:14:41 GMT"
Brexit: What you need to know about the UK leaving the EU,The UK and EU begin a new relationship on 1 January 2021.,"Wed, 30 Dec 2020 18:48:11 GMT"
‘Our foster child asked us to adopt him – by drawing himself on to a family photo’,"George was neglected by his parents, then an adoption went wrong. There was only one family that he felt loved by.","Sat, 19 Sep 2020 23:24:47 GMT"
